AÑO|MES|CODIGO_SECTOR_N1|PROVINCIA|CANTON|VENTAS_NETAS_TARIFA_GRAVADA|VENTAS_NETAS_TARIFA_0|VENTAS_NETAS_TARIFA_VARIABLE|VENTAS_NETAS_TARIFA_5|EXPORTACIONES|COMPRAS_NETAS_TARIFA_GRAVADA|COMPRAS_NETAS_TARIFA_0|IMPORTACIONES|COMPRAS_RISE|TOTAL_COMPRAS|TOTAL_VENTAS
2025|1|I|ZAMORA CHINCHIPE|YANTZAZA|179629,0500|37595,6000|0,0000|3150,9000|0,0000|132435,9200|48739,0800|86,5300|4328,3200|192687,5800|220375,5500
2025|1|G|GUAYAS|EL TRIUNFO|3213104,4800|21264351,7100|0,0000|449024,9800|0,0000|3347085,0200|14912680,1900|4374,4000|228082,8300|18900000,1300|24926481,1700
2025|1|A|MANABI|SUCRE|63346,4600|2781707,4600|0,0000|0,0000|0,0000|330310,8100|1962838,2600|0,0000|108790,4700|2414223,6700|2845053,9200
2025|1|Q|AZUAY|SIGSIG|88,4400|14620,0900|0,0000|0,0000|0,0000|4936,9300|5387,0900|0,0000|0,0000|10324,0200|14708,5300
2025|1|N|AZUAY|CAMILO PONCE ENRIQUEZ|73409,6700|37768,7900|0,0000|0,0000|100,0000|71640,5000|7246,1300|0,0000|5090,0000|87517,5800|111278,4600
2025|1|L|PICHINCHA|QUITO|52628494,9700|11859296,3900|126856,1600|58272,6300|118686,2100|27571167,6600|9580558,8800|603187,3500|848700,4400|39227541,7000|64791606,3600
2025|1|C|GUAYAS|NARANJAL|90479,2200|1144972,3300|0,0000|0,0100|3548,5400|100469,5000|774496,3300|30722,4300|1863,0000|910161,8500|1239000,1000
2025|1|F|EL ORO|PIÑAS|183606,0200|9653,3900|0,0000|1270,8100|0,0000|185456,6900|19278,6000|0,0000|2210,0000|250190,3100|194530,2200
2025|1|G|LOJA|ESPINDOLA|154404,0100|47511,3800|0,0000|27326,4900|0,0000|200020,1600|112954,2000|0,0000|0,0000|323072,4800|229241,8800
2025|1|F|NAPO|EL CHACO|39485,3700|1187,2100|0,0000|606,6900|0,0000|84098,4500|7266,3400|77,1000|1435,5000|100732,7700|41279,2700
2025|1|P|CHIMBORAZO|RIOBAMBA|292981,5300|2277010,6700|0,0000|0,0100|0,0000|541374,1900|170535,2400|24401,8200|36592,7700|781498,6000|2569992,2100
